name,type,value,index,raw_float
UAVCAN_EC_FAIL7,INT32,-1,1258,nan
UAVCAN_EC_FAIL8,INT32,-1,1259,nan
UAVCAN_EC_FAIL9,INT32,-1,1260,nan
UAVCAN_EC_FUNC1,INT32,0,1261,0.0
UAVCAN_EC_FUNC10,INT32,0,1262,0.0
UAVCAN_EC_FUNC11,INT32,0,1263,0.0
UAVCAN_EC_FUNC12,INT32,0,1264,0.0
UAVCAN_EC_FUNC2,INT32,0,1265,0.0
UAVCAN_EC_FUNC3,INT32,0,1266,0.0
UAVCAN_EC_FUNC4,INT32,0,1267,0.0
UAVCAN_EC_FUNC5,INT32,0,1268,0.0
UAVCAN_EC_FUNC6,INT32,0,1269,0.0
UAVCAN_EC_FUNC7,INT32,0,1270,0.0
UAVCAN_EC_FUNC8,INT32,0,1271,0.0
UAVCAN_EC_FUNC9,INT32,0,1272,0.0
UAVCAN_EC_MAX1,INT32,8191,1273,1.1478035721284577e-41
UAVCAN_EC_MAX10,INT32,8191,1274,1.1478035721284577e-41
UAVCAN_EC_MAX11,INT32,8191,1275,1.1478035721284577e-41
UAVCAN_EC_MAX12,INT32,8191,1276,1.1478035721284577e-41
UAVCAN_EC_MAX2,INT32,8191,1277,1.1478035721284577e-41
UAVCAN_EC_MAX3,INT32,8191,1278,1.1478035721284577e-41
UAVCAN_EC_MAX4,INT32,8191,1279,1.1478035721284577e-41
UAVCAN_EC_MAX5,INT32,8191,1280,1.1478035721284577e-41
UAVCAN_EC_MAX6,INT32,8191,1281,1.1478035721284577e-41
UAVCAN_EC_MAX7,INT32,8191,1282,1.1478035721284577e-41
UAVCAN_EC_MAX8,INT32,8191,1283,1.1478035721284577e-41
UAVCAN_EC_MAX9,INT32,8191,1284,1.1478035721284577e-41
UAVCAN_EC_MIN1,INT32,1,1285,1.401298464324817e-45
UAVCAN_EC_MIN10,INT32,1,1286,1.401298464324817e-45
UAVCAN_EC_MIN11,INT32,1,1287,1.401298464324817e-45
UAVCAN_EC_MIN12,INT32,1,1288,1.401298464324817e-45
UAVCAN_EC_MIN2,INT32,1,1289,1.401298464324817e-45
